L
Kakashi Hatake
Edward Elric
Levi
Light Yagami
Naruto Uzumaki
Mikasa Ackerman
Itachi Uchiha
Ryuk
Lelouch Lamperouge
Gaara
Natsu Dragneel
Kirito
Erza Scarlet
Roy Mustang
Sebastian Michaelis
Monkey D. Luffy
Shikamaru Nara
Asuna Yuuki
Hinata Hyuga
Killua Zoldyck
Alphonse Elric
Jiraiya
Zoro Roronoa
Eren Jaeger
Death The Kid
Ichigo Kurosaki
Rin Okumura
Gray Fullbuster
Taiga Aisaka
Sasuke Uchiha
Kanade Tachibana
C.C.
Takumi Usui
Hikaru Hitachiin
Maes Hughes
Shoto Todoroki
Kisuke Urahara
Lucy
Haruhi Fujioka
Tamaki Suoh
Happy
Ken Kaneki
Kaoru Hitachiin
Izuku Midoriya
Armin Arlelt
Yato
Lucy Heartfilia
Ciel Phantomhive
Soul Evans
Saitama
Alucard
Winry Rockbell
Riza Hawkeye
Kenpachi Zaraki
Hange Zoe
Ash'S Pikachu
Nezuko Kamado
Katsuki Bakugo
Rock Lee
Misaki Ayuzawa
Sasha Braus
Goku Son
Tanjirou Kamado
Shizuo Heiwajima
Yuno Gasai
Minato Namikaze
Kyo Sohma
Izaya Orihara
Alex Louis Armstrong
Toshiro Hitsugaya
Sanji
Gon Freecss
Rukia Kuchiki
Franken Stein
Yoruichi Shihouin
Neji Hyuga
Hisoka Morow
Misa Amane
Shoyo Hinata
Howl
Spike Spiegel
Kyoya Ootori
Shiro
Haruhi Suzumiya
Celty Sturluson
Maka Albarn
Undertaker
Hei
Ryuuji Takasu
Touka Kirishima
Saber
Kurisu Makise
Konata Izumi
Satoru Gojo
Mitsukuni Haninozuka
Byakuya Kuchiki
Saeko Busujima
Ulquiorra Schiffer
Sora
Yuri Nakamura
Sakura Haruno
Tsunade
Karma Akabane
Tobio Kageyama
Inosuke Hashibira
Kamina
Koro-Sensei
Mirajane Strauss
Rintaro Okabe
Vegeta
Nami
Near
Kallen Stadtfeld
Ace D. Portgas
Robin Nico
Kurapika
Tomoya Okazaki
Black Star
Nagisa Furukawa
Shota Aizawa
Grimmjow Jeagerjaques
Zero Kiryu
Eijiro Kirishima
Might Guy
Gajeel Redfox
Inuyasha
Gintoki Sakata
Takashi Morinozuka
